Musica,logoprogramacion.jpg,musica-16,Musica para acompanar y orar,13:42,13:59,Equipo ECCA,5,17,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_13-42_13-59
Lumbrera a mi camino,hbelalcazarv.jpeg,lumbrera-a-mi-camino-3,Mensajes para el pueblo,14:00,14:59,Henry Belalcazar Valencia,5,59,2025-10-24 14:19:31,2025-10-24 14:19:31,lumbrera-a-mi-camino_14-00_14-59
Tarde Principios de sabiduria,lbanguero.jpeg,tarde-principios-de-sabiduria,Lectura del proverbio del dia,15:00,15:14,Lorena Banguero Rivas,5,14,2025-10-24 14:19:31,2025-10-24 14:19:31,tarde-principios-de-sabiduria_15-00_15-14
Musica,logoprogramacion.jpg,musica-17,Musica para acompanar y orar,15:14,15:59,Equipo ECCA,5,45,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_15-14_15-59
Franja infantil,logoprogramacion.jpg,franja-infantil,Historia para ninos de personajes de la Biblia,16:00,17:05,Equipo ECCA,5,65,2025-10-24 14:19:31,2025-10-24 14:19:31,franja-infantil_16-00_17-05
Musica,logoprogramacion.jpg,musica-18,Musica para acompanar y orar,17:05,17:59,Equipo ECCA,5,54,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_17-05_17-59
La hora del retorno Principios de sabiduria,lbanguero.jpeg,la-hora-del-retorno-principios-de-sabiduria,Lectura del proverbio del dia,18:00,18:14,Lorena Banguero Rivas,5,14,2025-10-24 14:19:31,2025-10-24 14:19:31,la-hora-del-retorno-principios-de-sabiduria_18-00_18-14
Musica,logoprogramacion.jpg,musica-19,Musica para acompanar y orar,18:14,18:59,Equipo ECCA,5,45,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_18-14_18-59
Meditad en la palabra de vida,hbelalcazarv.jpeg,meditad-en-la-palabra-de-vida-2,Mensajes para el pueblo,19:00,19:22,Henry Belalcazar Valencia,5,22,2025-10-24 14:19:31,2025-10-24 14:19:31,meditad-en-la-palabra-de-vida_19-00_19-22
Musica,logoprogramacion.jpg,musica-20,Musica para acompanar y orar,19:22,19:59,Equipo ECCA,5,37,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_19-22_19-59
Noche Principios de sabiduria,lbanguero.jpeg,noche-principios-de-sabiduria,Lectura del proverbio del dia,20:00,20:14,Lorena Banguero Rivas,5,14,2025-10-24 14:19:31,2025-10-24 14:19:31,noche-principios-de-sabiduria_20-00_20-14
Musica,logoprogramacion.jpg,musica-21,Musica para acompanar y orar,20:14,20:59,Equipo ECCA,5,45,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_20-14_20-59
Lumbrera a mi camino,hbelalcazarv.jpeg,lumbrera-a-mi-camino-4,Mensajes para el pueblo,21:00,21:50,Henry Belalcazar Valencia,5,50,2025-10-24 14:19:31,2025-10-24 14:19:31,lumbrera-a-mi-camino_21-00_21-50
Musica,logoprogramacion.jpg,musica-22,Musica para acompanar y orar,21:50,21:59,Equipo ECCA,5,9,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_21-50_21-59
Lectura de la Biblia NTD,logoprogramacion.jpg,lectura-de-la-biblia-ntd-4,Lectura del Nuevo Testamento,22:00,22:12,Produccion SBU,5,12,2025-10-24 14:19:31,2025-10-24 14:19:31,lectura-de-la-biblia-ntd_22-00_22-12
Musica,logoprogramacion.jpg,musica-23,Musica para acompanar y orar,22:12,22:29,Equipo ECCA,5,17,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_22-12_22-29
He aqui estoy a la puerta y llamo,logoprogramacion.jpg,he-aqui-estoy-a-la-puerta-y-llamo-3,Como recibir al Salvador en el corazon,22:30,22:39,Equipo ECCA,5,9,2025-10-24 14:19:31,2025-10-24 14:19:31,he-aqui-estoy-a-la-puerta-y-llamo_22-30_22-39
Musica,logoprogramacion.jpg,musica-24,Musica para acompanar y orar,22:40,22:49,Equipo ECCA,5,9,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_22-40_22-49
Musica,logoprogramacion.jpg,musica-25,Musica para acompanar y orar,22:49,22:59,Equipo ECCA,5,10,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_22-49_22-59
Flores para el alma,nsabogal.jpeg,flores-para-el-alma-4,Devocional para mujeres,23:00,23:29,Norma Cecilia de Sabogal,5,29,2025-10-24 14:19:31,2025-10-24 14:19:31,flores-para-el-alma_23-00_23-29
Cancion no puedo parar de alabarte,logoprogramacion.jpg,cancion-no-puedo-parar-de-alabarte-2,Himno inicio de programacion,23:30,23:39,Equipo ECCA,5,9,2025-10-24 14:19:31,2025-10-24 14:19:31,cancion-no-puedo-parar-de-alabarte_23-30_23-39
Haciendo vallado oracion de Daniel,zherrera.jpeg,haciendo-vallado-oracion-de-daniel-2,Oraciones poderosas por personajes de la Biblia,23:40,23:50,Zotico Herrera,5,10,2025-10-24 14:19:31,2025-10-24 14:19:31,haciendo-vallado-oracion-de-daniel_23-40_23-50
Musica,logoprogramacion.jpg,musica-26,Musica para acompanar y orar,23:50,23:59,Equipo ECCA,5,9,2025-10-24 14:19:31,2025-10-24 14:19:31,musica_23-50_23-59
